article_id,pmid,title_en,title_ja,username,decision,comment,flag_cause,flag_treatment,cat_physical,cat_brain,cat_psycho,cat_drug,direction_gpt,direction_gemini,condition_list_gpt,condition_list_gemini,year
1,27524403,Staff Distress Improves by Treating Pain in Nursing Home Patients With Dementia: Results From a Cluster-Randomized Controlled Trial,認知症介護施設患者の疼痛治療によるスタッフストレスの改善：クラスター無作為化比較試験の結果,baba,2,未治療の疼痛はアパシーのリスク,0,1,0,1,0,0,1,1,認知症; 認知症高齢者の疼痛,認知症,2016
1,27524403,Staff Distress Improves by Treating Pain in Nursing Home Patients With Dementia: Results From a Cluster-Randomized Controlled Trial,認知症介護施設患者の疼痛治療によるスタッフストレスの改善：クラスター無作為化比較試験の結果,kobayashi,2,,0,0,0,0,1,0,1,1,認知症; 認知症高齢者の疼痛,認知症,2016
2,29436490,Subthalamic stimulation and neuropsychiatric symptoms in Parkinson's disease: results from a long-term follow-up cohort study,パーキンソン病における視床下核刺激と神経精神症状：長期追跡コホート研究の結果,baba,0,PDのSTN-DBSはアパシーのリスク,0,0,0,0,0,0,1,1,パーキンソン病; 視床下核深部刺激療法後,パーキンソン病,2018
2,29436490,Subthalamic stimulation and neuropsychiatric symptoms in Parkinson's disease: results from a long-term follow-up cohort study,パーキンソン病における視床下核刺激と神経精神症状：長期追跡コホート研究の結果,kobayashi,2,,0,0,0,1,0,0,1,1,パーキンソン病; 視床下核深部刺激療法後,パーキンソン病,2018
3,40340052,Digital Dependence in Aging: Nomophobia as the New Mental Health Threat for Older Adults,加齢に伴うデジタル依存：高齢者の新たなメンタルヘルス脅威としてのノモフォビア,baba,1,,0,0,0,0,0,0,1,1,nan,ノモフォビア／デジタル依存,2025
3,40340052,Digital Dependence in Aging: Nomophobia as the New Mental Health Threat for Older Adults,加齢に伴うデジタル依存：高齢者の新たなメンタルヘルス脅威としてのノモフォビア,kobayashi,1,,0,0,0,0,1,0,1,1,nan,ノモフォビア／デジタル依存,2025
4,39611055,The role of anti-aging approaches in managing hypogonadism in sedentary older males,座りがちな高齢男性における性腺機能低下症の管理における抗加齢アプローチの役割,baba,1,,0,1,1,0,0,0,1,1,高齢男性の加齢性低テストステロン血症; 座位行動・身体活動低下,男性ホルモン低下症 / 座りがちな生活,2024
4,39611055,The role of anti-aging approaches in managing hypogonadism in sedentary older males,座りがちな高齢男性における性腺機能低下症の管理における抗加齢アプローチの役割,kobayashi,2,,0,0,1,0,0,0,1,1,高齢男性の加齢性低テストステロン血症; 座位行動・身体活動低下,男性ホルモン低下症 / 座りがちな生活,2024
5,34742925,The global prevalence of major depressive disorder (MDD) among the elderly: A systematic review and meta-analysis,高齢者における大うつ病性障害（MDD）の世界的有病率：系統的レビューとメタ分析,baba,1,,0,1,0,0,1,0,1,1,高齢者うつ病（大うつ病性障害）,大うつ病性障害,2022
5,34742925,The global prevalence of major depressive disorder (MDD) among the elderly: A systematic review and meta-analysis,高齢者における大うつ病性障害（MDD）の世界的有病率：系統的レビューとメタ分析,kobayashi,2,,0,0,0,0,1,0,1,1,高齢者うつ病（大うつ病性障害）,大うつ病性障害,2022
6,35676795,Fatigue-related symptom clusters and functional status of older adults in hospice,ホスピスにおける高齢者の疲労関連症状群と機能状態,baba,1,,0,0,1,0,0,0,1,1,終末期がん; 高齢者ホスピス患者,がん（ホスピスケア）,2023
6,35676795,Fatigue-related symptom clusters and functional status of older adults in hospice,ホスピスにおける高齢者の疲労関連症状群と機能状態,kobayashi,2,,0,0,1,0,0,0,1,1,終末期がん; 高齢者ホスピス患者,がん（ホスピスケア）,2023
7,38816695,Prevalence and associated factors of depression among women with advanced pelvic organ prolapse in Northwest Ethiopia: cross-sectional study,北西エチオピアにおける進行性骨盤臓器脱女性患者のうつ病有病率と関連要因：横断研究,baba,1,,0,0,0,0,0,0,1,1,高度骨盤臓器脱; 女性うつ病,骨盤臓器脱,2024
7,38816695,Prevalence and associated factors of depression among women with advanced pelvic organ prolapse in Northwest Ethiopia: cross-sectional study,北西エチオピアにおける進行性骨盤臓器脱女性患者のうつ病有病率と関連要因：横断研究,kobayashi,1,,0,0,1,0,0,0,1,1,高度骨盤臓器脱; 女性うつ病,骨盤臓器脱,2024
8,37551136,Patient-reported outcomes in older breast cancer survivors with and without prior chemotherapy treatment,化学療法歴の有無による高齢乳がん生存者の患者報告アウトカム,baba,1,,0,0,1,0,0,0,1,1,高齢乳癌サバイバー; 乳癌に対する化学療法後遺症,乳がん（化学療法後）,2023
