article_id,pmid,title_en,title_ja,aggregated_decision,category_votes
1,27524403,Staff Distress Improves by Treating Pain in Nursing Home Patients With Dementia: Results From a Cluster-Randomized Controlled Trial,認知症介護施設患者の疼痛治療によるスタッフストレスの改善：クラスター無作為化比較試験の結果,2,1+0
2,29436490,Subthalamic stimulation and neuropsychiatric symptoms in Parkinson's disease: results from a long-term follow-up cohort study,パーキンソン病における視床下核刺激と神経精神症状：長期追跡コホート研究の結果,2,0+1
11,39540250,The prevalence and risk factors of apathy among the Canadian long-term care residents with Alzheimer's disease and related dementias,アルツハイマー病および関連認知症を有するカナダの長期療養施設入居者における無気力の有病率と危険因子,2,1+1
13,33716830,"Depression in Alzheimer's Disease: A Delphi Consensus on Etiology, Risk Factors, and Clinical Management",アルツハイマー病におけるうつ病：病因、危険因子、臨床管理に関するデルファイ法による合意形成,1,1+0
14,33628415,"Focus on Depression in Parkinson's Disease: A Delphi Consensus of Experts in Psychiatry, Neurology, and Geriatrics",パーキンソン病におけるうつ病に焦点を当てた研究：精神医学、神経学、老年医学の専門家によるデルファイ法による合意形成,1,1+1
15,23871117,A novel rating scale for the measurement of apathy in institutionalized persons with dementia: the APADEM-NH,施設入所認知症患者における無気力測定のための新規評価尺度：APADEM-NH,2,1+0
16,27428560,Structural correlates of apathy in Alzheimer's disease: a multimodal MRI study,アルツハイマー病における無気力の構造的相関：マルチモーダルMRI研究,2,1+0
19,40123132,[Asthenia in the acute period of ischemic stroke],[虚脱症：虚血性脳卒中急性期における],2,1+1
20,30834978,Non-motor symptoms in Huntington's disease: a comparative study with Parkinson's disease,ハンチントン病における非運動症状：パーキンソン病との比較研究,2,1+1
21,29292530,Apathy in idiopathic normal pressure hydrocephalus: A marker of reversible gait disorders,特発性正常圧水頭症における無関心：可逆性歩行障害のマーカー,2,1+1
22,27965058,Apathy and higher level of gait control in normal pressure hydrocephalus,正常圧水頭症における無関心と高次歩行制御,2,1+1
31,31495773,The Relationships Between Cognitive Reserve and Psychological Symptoms: A Cross-Sectional Study in Healthy Individuals,認知予備力と心理的症状の関係：健常者を対象とした横断研究,2,1+0
32,34864668,A Comparison of Behavioral and Psychological Symptoms of Dementia (BPSD) and BPSD Sub-Syndromes in Early-Onset and Late-Onset Alzheimer's Disease,若年性および老年性アルツハイマー病における認知症行動心理症状（BPSD）およびBPSDサブ症候群の比較,2,1+1
33,26406134,Impact of Neuropsychiatric Symptoms on the Quality of Life of Subjects with Parkinson's Disease,パーキンソン病患者の生活の質に対する神経精神症状の影響,2,1+1
34,27567885,Apathy in Mild Parkinson's Disease: Neuropsychological and Neuroimaging Evidence,軽度パーキンソン病における無関心：神経心理学的および神経画像学的証拠,2,1+0
39,26572551,Group and individual cognitive therapies in Alzheimer's disease: the ETNA3 randomized trial,アルツハイマー病における集団および個別認知療法：ETNA3無作為化試験,2,1+1
42,39710559,Psychiatric and cognitive symptoms of Parkinson's disease: A life's tale,パーキンソン病の精神症状と認知症状：人生の物語,2,1+0
43,32570436,VIVID: Independent Living of Aging Adults Suffered a Stroke,VIVID：脳卒中を経験した高齢者の自立生活,2,1+0
48,30211612,Executive impairment is associated with unawareness of neuropsychiatric symptoms in premanifest and early Huntington's disease,前駆期および初期ハンチントン病における神経精神症状の自覚不足と実行機能障害の関連性,2,1+1
49,30378268,Association of Alzheimer's genetic loci with mild behavioral impairment,アルツハイマー病関連遺伝子座と軽度行動障害の関連性,2,1+0
50,26602086,Assessing Alzheimer's disease patients' quality of life: Discrepancies between patient and caregiver perspectives,アルツハイマー病患者の生活の質評価：患者と介護者の視点の相違,2,1+1
58,29424552,Differences in neuropsychiatric symptoms between nursing home residents with young-onset dementia and late-onset dementia,若年性認知症と遅発性認知症の介護施設入居者における神経精神症状の差異,2,1+1
62,29244062,Longitudinal Course and Predictors of Apathetic Symptoms after Severe Traumatic Brain Injury,重度外傷性脳損傷後の無関心症状の経過と予測因子,2,1+1
67,39668706,"The effect of cognitive stimulation therapy (CST) on apathy, loneliness, anxiety and activities of daily living in older people with Alzheimer's disease: randomized control study",アルツハイマー病高齢者の無関心・孤独感・不安・日常生活動作に対する認知刺激療法（CST）の効果：無作為化比較試験,2,1+1
71,34039534,Monitoring Behaviors of Patients With Late-Stage Dementia Using Passive Environmental Sensing Approaches: A Case Series,受動的環境センシング手法を用いた末期認知症患者の行動モニタリング：症例シリーズ,2,1+0
72,36745966,"Poststroke apathy: Major role of cognitive, depressive and neurological disorders over imaging determinants",脳卒中後の無関心：画像所見よりも認知機能障害、抑うつ、神経学的障害が主要な役割を果たす,2,1+1
75,28884712,[Clinical and neurovisualization characteristics of apathetic depression],[無関心性うつ病の臨床的・神経画像学的特徴],2,1+0
76,36592107,Mild Behavioral Impairment: A New Prodromal Syndrome for Dementia,軽度行動障害：認知症の新たな前駆症候群,2,1+0
77,29606317,Behavioral disorders: The 'blind spot' of neurology and psychiatry,行動障害：神経学と精神医学の「盲点」,1,1+1
79,30035003,Apathy and atrophy of subcortical brain structures in Huntington's disease: A two-year follow-up study,ハンチントン病における無関心と皮質下脳構造の萎縮：2年間の追跡調査,2,1+1
80,25600482,Resting-state frontostriatal functional connectivity in Parkinson's disease-related apathy,パーキンソン病関連無関心における安静時前頭線条体機能的接続性,2,1+0
82,39344629,The prevalence of neuropsychiatric symptoms and correlation with MRI findings in CADASIL patients,CADASIL患者における神経精神症状の有病率とMRI所見との相関,2,1+1
83,26120984,[Inflammatory mechanisms of fatigue syndrome in Parkinson's disease],[パーキンソン病における疲労症候群の炎症メカニズム],2,1+0
85,30935215,Prevalence and Severity of Neuropsychiatric Symptoms in Early- Versus Late-Onset Alzheimer's Disease,早期発症と遅発性アルツハイマー病における神経精神症状の有病率と重症度,2,1+1
87,30136743,Comparison of the efficacy of gesture-verbal treatment and doll therapy for managing neuropsychiatric symptoms in older patients with dementia,認知症高齢患者の神経精神症状管理におけるジェスチャー言語療法と人形療法の有効性比較,2,0+1
88,32088096,The Association Between Biomarkers and Neuropsychiatric Symptoms Across the Alzheimer's Disease Spectrum,アルツハイマー病スペクトラムにおけるバイオマーカーと神経精神症状の関連性,2,1+0
89,40528389,Neuropsychiatric symptoms and awareness in young-and-late-onset dementia,若年性および遅発性認知症における神経精神症状と自覚症状,2,0+1
91,30212839,Apathy in rapid eye movement sleep behaviour disorder is associated with serotonin depletion in the dorsal raphe nucleus,急速眼球運動睡眠行動障害における無気力は背側縫線核のセロトニン枯渇と関連する,2,1+1
92,28472425,Prodromal Parkinsonism and Neurodegenerative Risk Stratification in REM Sleep Behavior Disorder,レム睡眠行動障害における前駆性パーキンソン症候群と神経変性リスク層別化,2,1+1
93,29114969,Apathy in rapid eye movement sleep behaviour disorder is common and under-recognized,急速眼球運動睡眠行動障害における無関心は一般的であり、認識不足である,2,1+1
96,31422368,Effects of bilateral stimulation of the subthalamic nucleus in Parkinson's disease with and without REM sleep behaviour disorder,レム睡眠行動障害の有無によるパーキンソン病における視床下核の両側刺激の効果,2,1+0
97,29253029,Sleep-wake functions and quality of life in patients with subthalamic deep brain stimulation for Parkinson's disease,パーキンソン病に対する視床下部深部脳刺激療法を受けた患者の睡眠・覚醒機能と生活の質,2,1+1
98,30826716,Apathy in Parkinson's disease with REM sleep behavior disorder,レム睡眠行動障害を伴うパーキンソン病における無関心,2,1+1
102,25916562,Alzheimer's disease first symptoms are age dependent: Evidence from the NACC dataset,アルツハイマー病の初期症状は年齢依存性である：NACCデータセットからの証拠,2,1+1
107,37449850,The impact of COVID-19 pandemic on elderly with neurocognitive disorders,COVID-19パンデミックが神経認知障害を有する高齢者に与える影響,2,1+0
109,30444020,White matter myelin profiles linked to clinical subtypes of Parkinson's disease,パーキンソン病の臨床亜型に関連する白質ミエリンプロファイル,2,1+0
115,33404617,Progression of Behavioral Disturbances and Neuropsychiatric Symptoms in Patients With Genetic Frontotemporal Dementia,遺伝性前頭側頭型認知症患者における行動障害および神経精神症状の進行,2,1+1
