article_id,pmid,title_en,title_ja,aggregated_decision,category_votes
8,37551136,Patient-reported outcomes in older breast cancer survivors with and without prior chemotherapy treatment,化学療法歴の有無による高齢乳がん生存者の患者報告アウトカム,1,1+0
11,39540250,The prevalence and risk factors of apathy among the Canadian long-term care residents with Alzheimer's disease and related dementias,アルツハイマー病および関連認知症を有するカナダの長期療養施設入居者における無気力の有病率と危険因子,2,1+0
12,37066911,Fortasyn Connect Improves Neuropsychiatric Symptoms in Patients with Mild Cognitive Impairment and Dementia: Results from a Retrospective Real-World Study,フォータシン・コネクトは軽度認知障害および認知症患者の神経精神症状を改善する：実臨床後方視的研究の結果,1,1+0
44,29604484,Psychiatric and cognitive adverse events: A pooled analysis of three phase III trials of adjunctive eslicarbazepine acetate for partial-onset seizures,精神医学的および認知的不良事象：部分発作に対するエスリカルバゼピン酢酸塩の補助療法に関する3つの第III相試験の統合分析,1,1+0
45,35120284,Methylphenidate and Other Pharmacologic Treatments for Apathy in Alzheimer's Disease,アルツハイマー病における無気力に対するメチルフェニデートおよびその他の薬物療法,2,1+0
54,26095948,"Effects of rotigotine transdermal patch in patients with Parkinson's disease presenting with non-motor symptoms - results of a double-blind, randomized, placebo-controlled trial",非運動症状を呈するパーキンソン病患者におけるロチゴチン経皮吸収パッチの効果 - 二重盲検無作為化プラセボ対照試験の結果,1,1+0
73,28017228,Apomorphine pump in advanced Parkinson's disease: Effects on motor and nonmotor symptoms with brain metabolism correlations,進行性パーキンソン病におけるアポモルフィンポンプ：運動症状・非運動症状への効果と脳代謝相関,2,1+0
84,31311842,Impulse control disorders in Parkinson disease and RBD: A longitudinal study of severity,パーキンソン病およびRBDにおける衝動制御障害：重症度の縦断的研究,2,1+0
103,25962410,A randomized clinical trial to evaluate the effects of rasagiline on depressive symptoms in non-demented Parkinson's disease patients,非認知症パーキンソン病患者におけるうつ症状に対するラサギリンの効果を評価する無作為化臨床試験,2,1+0
113,34623735,Self-reported lack of energy or feeling depressed 12 months after treatment in men diagnosed with prostate cancer within a population-based registry,人口ベース登録で前立腺癌と診断された男性における治療後12ヶ月時点の自己申告による活力低下または抑うつ感,2,0+1
142,28985387,Neuropsychiatric symptoms and psychotropic drug use in patients with dementia in general practices,一般診療における認知症患者の神経精神症状と向精神薬の使用,2,1+0
162,29941156,Antipsychotic Deprescription for Older Adults in Long-term Care: The HALT Study,長期介護を受けている高齢者を対象とした抗精神病薬の処方中止：HALT 研究,2,1+1
198,29110353,Amotivation is associated with smaller ventral striatum volumes in older patients with schizophrenia,高齢統合失調症患者における無動機性は腹側線条体容積の減少と関連する,2,1+0
203,28035924,The Effect of the Association between Donepezil and Choline Alphoscerate on Behavioral Disturbances in Alzheimer's Disease: Interim Results of the ASCOMALVA Trial,ドネペジルとコリン・アルファスケレートとの併用がアルツハイマー病の行動障害に及ぼす影響：ASCOMALVA試験の中間結果,2,1+0
252,25967086,Dopamine enhances willingness to exert effort for reward in Parkinson's disease,パーキンソン病における報酬獲得のための努力意欲を高めるドーパミンの作用,2,1+0
266,39862881,"Intranasal oxytocin for apathy in people with frontotemporal dementia (FOXY): a multicentre, randomised, double-blind, placebo-controlled, adaptive, crossover, phase 2a/2b superiority trial",前頭側頭型認知症（FOXY）患者の無関心に対する経鼻オキシトシン：多施設共同、無作為化、二重盲検、プラセボ対照、適応型、クロスオーバー、第2a/2b相優越性試験,2,1+0
267,30085899,Gender Differences in Neuropsychiatric Symptoms in Mild to Moderate Alzheimer's Disease Patients Undergoing Switch of Cholinesterase Inhibitors: A Post Hoc Analysis of the EVOLUTION Study,コリンエステラーゼ阻害薬切り替えを受けた軽度～中等度アルツハイマー病患者における神経精神症状の性差：EVOLUTION研究事後解析,2,1+0
282,37425947,Dissociable effects of dopaminergic medications on depression symptom dimensions in Parkinson's disease,パーキンソン病における抑うつ症状の次元に対するドーパミン作動薬の分離可能な効果,2,1+0
283,40103483,Impaired reward sensitivity in Parkinson's depression is unresponsive to dopamine treatment,パーキンソン病うつ病における報酬感受性障害はドーパミン治療に反応しない,2,1+0
353,32761061,Dopamine and reward hypersensitivity in Parkinson's disease with impulse control disorder,衝動制御障害を伴うパーキンソン病におけるドーパミンと報酬過敏性,2,1+0
394,25567425,Antipsychotics and amotivation,抗精神病薬と意欲減退,1,1+0
402,30403307,Prominent physical inactivity in acute dementia care: Psychopathology seems to be more important than the dose of sedative medication,急性期認知症ケアにおける顕著な身体活動不足：鎮静薬投与量よりも精神病理学的要因が重要と思われる,2,1+0
407,28079675,Recent advances in the management of neuropsychiatric symptoms in dementia,認知症における神経精神症状管理の最近の進展,1,1+0
421,28276131,Different clinical effect of four antidementia drugs for Alzheimer's disease patients depending on white matter severity,アルツハイマー病患者における4種類の抗認知症薬の臨床効果は白質病変の重症度によって異なる,2,1+0
436,35749631,Health-related quality of life outcomes after neoadjuvant chemoradiotherapy for rectal cancer in NRG Oncology/NSABP R-04,NRG Oncology/NSABP R-04 における直腸癌の新補助化学放射線療法後の健康関連QOLアウトカム,1,0+1
535,31969207,Prolonged use of antipsychotic medications in long-term aged care in Australia: a snapshot from the HALT project,オーストラリアにおける長期高齢者ケア施設での抗精神病薬の長期使用：HALTプロジェクトからのスナップショット,2,1+1
539,26822516,Beneficial effects of dietary docosahexaenoic acid intervention on cognitive function and mental health of the oldest elderly in Japanese care facilities and nursing homes,日本の介護施設・老人ホームにおける最高齢高齢者の認知機能とメンタルヘルスに対するドコサヘキサエン酸（DHA）摂取介入の有益な効果,1,0+1
555,39823778,Symptoms among patients with breast cancer undergoing endocrine therapy: Application of latent profile analysis and network analysis,内分泌療法を受けている乳がん患者の症状：潜在プロファイル分析とネットワーク分析の適用,1,1+0
583,27578455,Comprehensive effects of galantamine and cilostazol combination therapy on patients with Alzheimer's disease with asymptomatic lacunar infarction,無症候性ラクナ梗塞を伴うアルツハイマー病患者に対するガランタミンとシロスタゾール併用療法の包括的効果,1,0+1
588,39302979,Identifying symptom cluster in cancer patients undergoing chemotherapy-in Vietnam: A cross-sectional study,化学療法を受けているがん患者における症状クラスターの特定―ベトナムにおける横断研究,1,1+0
603,32618535,Clinical impact of antipsychotic and benzodiazepine reduction: findings from a multicomponent psychotropic reduction program within long-term aged care,抗精神病薬およびベンゾジアゼピン系薬剤減薬の臨床的影響：長期高齢者ケア施設における多要素向精神薬減薬プログラムからの知見,1,0+1
635,38237369,Addressing cancer anorexia-cachexia in older patients: Potential therapeutic strategies and molecular pathways,高齢患者におけるがん性食欲不振・悪液質への対応：潜在的な治療戦略と分子経路,1,0+1
638,40636250,Polypharmacy and associated factors in older adults living in communities: a comparative study using the Social Frailty Score and Kihon Checklist,地域在住高齢者における多剤併用と関連要因：社会的脆弱性スコアと基本チェックリストを用いた比較研究,2,1+1
647,40759509,Neuropsychiatric side effects of semaglutide in patients with dementia,認知症患者におけるセマグルチドの神経精神科的副作用,1,1+0
757,26268660,Use of anti-dementia drugs in home care and residential care and associations with neuropsychiatric symptoms: a cross-sectional study,在宅介護および施設介護における抗認知症薬の使用と神経精神症状との関連性：横断研究,2,1+1
767,40600025,Social Withdrawal and Prescription Opioid Misuse Among Older Adults in the United States,米国高齢者における社会的引きこもりおよび処方オピオイドの誤用,2,1+0
772,40415148,Motor and Non-motor Complications Following Different Early Therapies in Parkinson's Disease: Longitudinal Analysis of Real-Life Clinical and Therapeutic Data from the French NS-PARK Cohort,パーキンソン病における異なる早期治療後の運動・非運動合併症：フランスNS-PARKコホートからの実臨床・治療データの縦断的解析,2,0+1
783,29672668,Distinct effects of apathy and dopamine on effort-based decision-making in Parkinson's disease,パーキンソン病における無関心とドーパミンの努力に基づく意思決定への異なる影響,2,0+1
836,28193195,Assessing the burden of treatment-emergent adverse events associated with atypical antipsychotic medications,非定型抗精神病薬に関連する治療中に生じた有害事象の負担の評価,2,1+0
911,40901038,"Functional benefits of ultra-high hydrostatic pressurized brown rice on cognition, apathy, and bone health in older adults: A 12-month randomized controlled trial",超高圧水圧処理玄米が高齢者の認知機能、無気力、骨健康に及ぼす機能的効果：12ヶ月間無作為化比較試験,2,1+1
913,25624417,Combination Therapy of Cholinesterase Inhibitor (Donepezil or Galantamine) plus Memantine in the Okayama Memantine Study,岡山メマンチン研究におけるコリンエステラーゼ阻害薬（ドネペジルまたはガランタミン）とメマンチンの併用療法,2,0+1
916,26889640,Psychotropic use and associated neuropsychiatric symptoms among patients with dementia in the USA,米国における認知症患者における向精神薬の使用と関連する神経精神症状,2,1+1
922,30279047,A cross sectional study in cognitive and neurobehavioral impairment in long-term nasopharyngeal cancer survivors treated with intensity-modulated radiotherapy,強度変調放射線治療を受けた長期鼻咽頭癌生存者における認知機能および神経行動障害に関する横断研究,2,1+0
924,30689734,Dopamine restores cognitive motivation in Parkinson's disease,パーキンソン病におけるドーパミンによる認知的動機付けの回復,2,1+1
930,32907903,"Diagnosis, treatment and management of apathy in Parkinson's disease: a scoping review",パーキンソン病における無気力の診断、治療、管理：探索的レビュー,2,0+1
931,32067288,Efficacy and safety of 5-hydroxytryptophan on depression and apathy in Parkinson's disease: a preliminary finding,パーキンソン病における抑うつと無気力に対する5-ヒドロキシトリプトファンの有効性と安全性：予備的知見,2,0+1
947,40442715,"Berries and Steps: a protocol of a randomized, placebo-controlled pilot study testing freeze-dried blueberry powder in sedentary older adults with mild depressive symptoms",ベリーと歩数：軽度抑うつ症状を有する非活動的な高齢者を対象とした凍結乾燥ブルーベリー粉末のランダム化プラセボ対照パイロット試験プロトコル,2,0+1
949,34570180,Effect of Methylphenidate on Apathy in Patients With Alzheimer Disease: The ADMET 2 Randomized Clinical Trial,アルツハイマー病患者における無関心に対するメチルフェニデート（ADMET 2）の効果：無作為化臨床試験,2,0+1
970,26301603,Effect of Discontinuation of Antihypertensive Treatment in Elderly People on Cognitive Functioning--the DANTE Study Leiden: A Randomized Clinical Trial,高齢者における降圧治療中止が認知機能に及ぼす影響―DANTE研究ライデン：無作為化臨床試験,2,1+1
996,34911368,The Impact of a Dementia-Friendly Garden Design on People With Dementia in a Residential Aged Care Facility: A Case Study,認知症に配慮した庭園設計が高齢者介護施設入居者の認知症患者に与える影響：事例研究,2,0+1
1024,30423541,Effect of istradefylline on mood disorders in Parkinson's disease,パーキンソン病における気分障害に対するイストラデフィリンの効果,2,0+1
1060,30685297,Potentially modifiable determinants of malnutrition in older adults: A systematic review,高齢者における栄養不良の潜在的に修正可能な決定要因：系統的レビュー,2,1+1
1068,40789339,Apathy in Korsakoff Syndrome: A Call for Clinical Awareness in Long-Term Care Settings,コルサコフ症候群における無関心：長期療養施設における臨床的認識の必要性,2,1+0
1076,28331022,Effect of non-pharmacological intervention for apathy: response to one-on-one reminiscence-based intervention,無気力に対する非薬物療法の効果：一対一の回想療法に基づく介入への反応,2,1+0
1086,31535612,Thiamine deficiency in a patient with recurrent renal cell carcinoma who developed weight loss with normal appetite and loss of energy soon after nivolumab treatment,ニボルマブ治療直後に食欲正常ながら体重減少と活力低下を呈した再発腎細胞癌患者におけるチアミン欠乏症,2,1+0
1120,39203722,Lack of Association between Insufficient Intake of Multiple Vitamins and Frailty in Older Adults Who Consume Sufficient Energy and Protein: A Nationwide Cross-Sectional Study,十分なエネルギー・タンパク質摂取量を有する高齢者における複数ビタミン摂取不足と虚弱性の関連性の欠如：全国横断研究,2,0+1
1152,35036984,Relationship of smoking with current and future social isolation and loneliness: 12-year follow-up of older adults in England,喫煙と現在および将来の社会的孤立・孤独感との関連性：イングランド高齢者における12年間の追跡調査,2,1+1
1202,27184521,"Apathy and Its Response to Antipsychotic Review and Nonpharmacological Interventions in People With Dementia Living in Nursing Homes: WHELD, a Factorial Cluster Randomized Controlled Trial",介護施設入所認知症患者における無気力と抗精神病薬見直し・非薬物療法への反応：WHELD因子クラスター無作為化比較試験,2,1+0
1208,40246706,"A Cross Sectional and Longitudinal Assessment of Neuropsychiatric Symptoms and Brain Functional Connectivity in Patients With Mild Cognitive Impairment, Cerebrovascular Disease and Parkinson Disease",軽度認知障害、脳血管疾患、パーキンソン病患者における神経精神症状と脳機能的接続性の横断的・縦断的評価,2,1+0
1213,25709422,A new delirium phenotype with rapid high amplitude onset and nearly as rapid reversal: Central Coast Australia Delirium Intervention Study,急速な高振幅発症とほぼ同等の速さで回復する新たなせん妄表現型：オーストラリア・セントラルコーストせん妄介入研究,2,1+0
1228,25435322,Acute and long-term psychiatric side effects of mefloquine: a follow-up on Danish adverse event reports,メフロキンの急性および長期的な精神科的副作用：デンマークの有害事象報告の追跡調査,2,1+1
1259,35337631,Neuropsychiatric manifestations in vitamin B12 deficiency,ビタミンB12欠乏症における神経精神症状,2,0+1
1297,38780969,Greater Apathy Associated With Selective Serotonin Reuptake Inhibitor Use in Parkinson's Disease,パーキンソン病における選択的セロトニン再取り込み阻害薬の使用に伴う無気力の増大,2,1+1
1319,28818699,Apathy in people with epilepsy and its clinical significance: A case-control study,てんかん患者における無関心とその臨床的意義：症例対照研究,2,0+1
1336,26757043,"Safety and Efficacy of Medical Cannabis Oil for Behavioral and Psychological Symptoms of Dementia: An-Open Label, Add-On, Pilot Study",医療用カンナビスオイルの認知症に伴う行動・心理症状に対する安全性と有効性：非盲検追加療法パイロット研究,1,1+0
1337,39164158,Worse Morning Energy Profiles Are Associated with Significant Levels of Stress and Decrements in Resilience in Patients Receiving Chemotherapy,化学療法を受けている患者における朝のエネルギープロファイルの悪化は、著しいストレスレベルおよびレジリエンスの低下と関連している,1,1+0
1341,27605868,Treatment resistant depression or dementia: a case report,治療抵抗性うつ病または認知症：症例報告,1,0+1
1347,40117894,Cholinergic basal forebrain atrophy and cortical alterations in Parkinson's disease with apathy,無関心型パーキンソン病におけるコリン作動性基底前脳萎縮と皮質変化,2,0+1
1371,25420207,Combined rasagiline and antidepressant use in Parkinson disease in the ADAGIO study: effects on nonmotor symptoms and tolerability,ADAGIO研究におけるパーキンソン病患者へのラサギリンと抗うつ薬の併用：非運動症状および忍容性への影響,2,0+1
1378,26071817,Dopamine agonist withdrawal syndrome (DAWS) symptoms in Parkinson's disease patients treated with levodopa-carbidopa intestinal gel infusion,レボドパ・カルビドパ腸管注入療法を受けたパーキンソン病患者におけるドーパミン作動薬離脱症候群（DAWS）症状,2,1+1
1403,26915605,"A Randomized, Placebo-Controlled, Double-Blind Efficacy Study of Nefiracetam to Treat Poststroke Apathy",脳卒中後の無関心症に対するネフィラセタムの有効性に関する無作為化プラセボ対照二重盲検試験,2,1+0
1441,30146591,"Antidepressants for Depression, Apathy, and Gait Instability in Parkinson's Disease: A Multicenter Randomized Study",パーキンソン病におけるうつ病、無関心、歩行不安定に対する抗うつ薬：多施設共同無作為化試験,2,1+0
1453,26490555,"Hyponatremia in the outpatient setting: clinical characteristics, risk factors, and outcome",外来患者における低ナトリウム血症：臨床的特徴、危険因子、および転帰,2,1+0
1460,35247744,Older patients' experience of living with cognitive impairment related to hormone therapy for breast cancer: A qualitative study,乳がんホルモン療法に関連する認知機能障害を抱えて生活する高齢患者の体験：質的研究,2,0+1
1461,28914218,[Apathetic geriatric patient benefits from methylphenidate],[無関心型老年患者におけるメチルフェニデートの有効性],2,1+0
1468,27445626,Effect of Tramadol/Acetaminophen on Motivation in Patients with Chronic Low Back Pain,慢性腰痛患者におけるトラマドール/アセトアミノフェンの動機付けへの影響,2,1+0
1511,39713899,Psychotropic medication usage in sporadic versus genetic behavioral-variant frontotemporal dementia,散発性と遺伝性行動変異型前頭側頭型認知症における向精神薬の使用,2,0+1
1514,38710325,Preoperative ketamine administration for prevention of postoperative neurocognitive disorders after major orthopedic surgery in elderly patients: A multicenter randomized blinded placebo-controlled trial,高齢者における大整形外科手術後の術後神経認知障害予防のための術前ケタミン投与：多施設共同無作為化盲検プラセボ対照試験,2,0+1
1520,28396180,Polypharmacy Is Associated With Higher Frailty Risk in Older People: An 8-Year Longitudinal Cohort Study,高齢者における多剤併用は虚弱リスクの上昇と関連：8年間の縦断的コホート研究,2,0+1
1548,38640961,Guideline Recommendations on Behavioral and Psychological Symptoms of Dementia: A Systematic Review,認知症の行動・心理症状に関するガイドライン推奨事項：系統的レビュー,1,1+1
1588,28225493,Acetylcholinesterase inhibitor treatment alleviated cognitive impairment caused by delayed encephalopathy due to carbon monoxide poisoning: Two case reports and a review of the literature,一酸化炭素中毒による遅発性脳症が引き起こす認知障害に対するアセチルコリンエステラーゼ阻害薬治療の効果：2症例報告と文献レビュー,2,1+0
1698,28931452,Factors associated with appropriate psychotropic drug prescription in nursing home patients with severe dementia,重度認知症を有する介護施設入所患者における適切な向精神薬処方に影響する要因,2,1+0
