article_id,pmid,title_en,title_ja,aggregated_decision,category_votes
4,39611055,The role of anti-aging approaches in managing hypogonadism in sedentary older males,座りがちな高齢男性における性腺機能低下症の管理における抗加齢アプローチの役割,2,1+1
6,35676795,Fatigue-related symptom clusters and functional status of older adults in hospice,ホスピスにおける高齢者の疲労関連症状群と機能状態,2,1+1
7,38816695,Prevalence and associated factors of depression among women with advanced pelvic organ prolapse in Northwest Ethiopia: cross-sectional study,北西エチオピアにおける進行性骨盤臓器脱女性患者のうつ病有病率と関連要因：横断研究,1,0+1
8,37551136,Patient-reported outcomes in older breast cancer survivors with and without prior chemotherapy treatment,化学療法歴の有無による高齢乳がん生存者の患者報告アウトカム,1,0+1
11,39540250,The prevalence and risk factors of apathy among the Canadian long-term care residents with Alzheimer's disease and related dementias,アルツハイマー病および関連認知症を有するカナダの長期療養施設入居者における無気力の有病率と危険因子,2,1+0
24,26329729,"Diagnosis, medication, and surgical management for patients with trigeminal neuralgia: a qualitative study",三叉神経痛患者の診断、薬物療法、外科的治療：質的研究,1,1+1
35,37076567,The neuropsychology of healthy aging: the positive context of the University of the Third Age during the COVID-19 pandemic,健康的な加齢の神経心理学：COVID-19パンデミック下における第三世代大学（U3A）のポジティブな環境,2,0+1
40,41094694,Ten myths of back pain in older adults that can lead to ineffective and harmful care,高齢者における腰痛に関する10の誤解：非効果的で有害なケアにつながる可能性,1,1+0
60,37803500,Neuroticism is associated with increase in depression symptoms over time in older adults with type 2 diabetes,神経症的傾向は、2型糖尿病を有する高齢者の抑うつ症状の時間経過に伴う増加と関連している,2,1+1
61,31941440,The importance of different frailty domains in a population based sample in England,イングランドにおける人口ベースサンプルにおける異なる虚弱領域の重要性,2,1+1
90,39789030,Homoarginine concentrations correlate with early depressive symptoms and the reduction in physical functioning within the first days after myocardial infarction,ホモアギニンの濃度は、心筋梗塞発症後数日以内の早期抑うつ症状および身体機能の低下と相関する,2,1+0
95,38834971,COVID-19 and long-term impact on symptoms and Health-Related Quality of Life in Costa Rica: the RESPIRA cohort study,COVID-19とコスタリカにおける症状および健康関連QOLへの長期影響：RESPIRAコホート研究,2,1+1
104,32801252,Pellagra Disease in a Hemodialysis Patient,血液透析患者におけるペラグラ病,2,1+0
110,38303088,"Outcome of severe COVID-19: spotlight on fatigue, fatigability, multidomain complaints and pattern of cognitive deficits in a case series without prior brain dysfunction and without COVID-19-related stroke and/or cardiac arrest",重症COVID-19の転帰：既往の脳機能障害がなく、COVID-19関連脳卒中および／または心停止を伴わない症例シリーズにおける疲労、疲労感受性、多領域にわたる苦情、および認知機能障害のパターンに焦点を当てて,1,1+0
113,34623735,Self-reported lack of energy or feeling depressed 12 months after treatment in men diagnosed with prostate cancer within a population-based registry,人口ベース登録で前立腺癌と診断された男性における治療後12ヶ月時点の自己申告による活力低下または抑うつ感,2,1+1
116,39377555,Symptom Network Analysis and Unsupervised Clustering of Oncology Patients Identifies Drivers of Symptom Burden and Patient Subgroups With Distinct Symptom Patterns,腫瘍学患者の症状ネットワーク解析と教師なしクラスタリングによる症状負担の要因特定と特徴的な症状パターンを示す患者サブグループの同定,1,0+1
118,32353168,"Lower Blood Pressure, Small-Vessel Disease, and Apathy in Older Persons With Mild Cognitive Deficits",軽度認知障害を有する高齢者の低血圧、小血管疾患、および無関心,2,0+1
121,34654234,Early diagnosis of dehydration in hospitalized geriatric patients using clinical and laboratory criteria,臨床および検査基準を用いた入院高齢者における脱水の早期診断,2,1+1
126,31388746,The usefulness and prognostic value of Memorial Symptom Assessment-Short Form and Condensed Memorial Symptom Assessment Scale in assessment of lung cancer patients,肺がん患者評価におけるメモリアル症状評価-短縮版および簡略化メモリアル症状評価尺度の有用性と予後的価値,1,1+1
130,39503943,Symptom prevalence in patients with advanced heart failure and its association with quality of life and activities of daily living,高度心不全患者の症状有病率と生活の質および日常生活動作との関連,2,1+1
134,38776029,Living with an artificial eye: qualitative insights into patient and family member experiences,義眼との生活：患者と家族の体験に関する質的洞察,2,1+1
136,37238956,Osteosarcopenia and Pain: Do We Have a Way Out?,骨粗鬆症性サルコペニアと疼痛：解決策はあるのか？,2,1+1
144,31402683,Reward (BIS/BAS) mechanisms and fatigue in patients on chronic hemodialysis,慢性血液透析患者における報酬（BIS/BAS）メカニズムと疲労,1,1+1
