article_id,pmid,title_en,title_ja,aggregated_decision,category_votes
1,27524403,Staff Distress Improves by Treating Pain in Nursing Home Patients With Dementia: Results From a Cluster-Randomized Controlled Trial,認知症介護施設患者の疼痛治療によるスタッフストレスの改善：クラスター無作為化比較試験の結果,2,0+1
3,40340052,Digital Dependence in Aging: Nomophobia as the New Mental Health Threat for Older Adults,加齢に伴うデジタル依存：高齢者の新たなメンタルヘルス脅威としてのノモフォビア,1,0+1
5,34742925,The global prevalence of major depressive disorder (MDD) among the elderly: A systematic review and meta-analysis,高齢者における大うつ病性障害（MDD）の世界的有病率：系統的レビューとメタ分析,2,1+1
9,40611851,The Impact of eBook Clubs on Apathy Among Long Term Care Residents: A Pilot Study,電子書籍クラブが長期療養施設入居者の無気力に与える影響：パイロット研究,2,1+1
10,39195952,Investigating the Prevalence and Predictors of Apathy among the Canadian Long-Term Care Residents: A Secondary Data Analysis,カナダ長期療養施設入居者における無気力の有病率と予測因子の調査：二次データ分析,2,1+1
13,33716830,"Depression in Alzheimer's Disease: A Delphi Consensus on Etiology, Risk Factors, and Clinical Management",アルツハイマー病におけるうつ病：病因、危険因子、臨床管理に関するデルファイ法による合意形成,1,0+1
23,34821521,Relationship Between Personality Measures and Perceived Mental Fatigability,性格測定と知覚的精神的疲労感との関連性,1,0+1
26,24200595,Association of depression with sexual and daily activities: a community study of octogenarian men,うつ病と性活動・日常生活活動との関連性：80代男性を対象とした地域研究,1,0+1
35,37076567,The neuropsychology of healthy aging: the positive context of the University of the Third Age during the COVID-19 pandemic,健康的な加齢の神経心理学：COVID-19パンデミック下における第三世代大学（U3A）のポジティブな環境,2,1+0
36,38155179,A unique neuropsychophysiological approach to objectify emotion (dys)regulation in healthy older adults during the COVID-19 pandemic,COVID-19パンデミック下における健常高齢者の感情（失調）調節を客観化する独自の神経心理生理学的アプローチ,2,1+0
38,40500311,Using difficulty in going out and social participation to assess for risk of hikikomori: nationally representative data from the European health interview survey,外出困難と社会参加の困難さを用いたひきこもりリスク評価：欧州健康調査（EHIS）の全国代表データ,2,1+1
65,31166519,Description of suicide ideation among older adults and a psychological profile: a cross-sectional study in Turkey,高齢者における自殺念慮の特徴と心理的プロファイル：トルコにおける横断研究,2,1+0
70,38717798,"Feasibility of Deploying Home-Based Digital Technology, Environmental Sensors, and Web-Based Surveys for Assessing Behavioral Symptoms and Identifying Their Precipitants in Older Adults: Longitudinal, Observational Study",高齢者の行動症状評価およびその誘因特定のための在宅デジタル技術、環境センサー、ウェブ調査導入の実現可能性：縦断的観察研究,2,1+1
78,34369598,Lack of energy is associated with malnutrition in nursing home residents: Results from the INCUR study,エネルギー不足は介護施設入居者の栄養不良と関連している：INCUR研究の結果,2,1+1
